symbol,strategy_id,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason,position_size,portfolio_pnl,equity,drawdown
ETHUSDT,bb_trendline_rr4,2025-06-02 10:00:00+00:00,2025-06-02 10:00:00+00:00,2025-06-02 13:38:00+00:00,short,2480.21,2515.134,2515.134,2340.514,-34.92399999999998,14.986032,-49.91003199999998,bb_middle_stop,0.5726720879624331,-28.582082235711837,971.4179177642882,0.0
ETHUSDT,bb_trendline_rr4,2025-06-02 23:00:00+00:00,2025-06-02 23:00:00+00:00,2025-06-05 19:17:00+00:00,long,2583.87,2516.925,2516.925,2851.6499999999987,-66.94499999999971,15.302385,-82.24738499999971,bb_middle_stop,0.2902137329940376,-23.869320629847728,947.5485971344405,-2.457162894913736
ETHUSDT,bb_trendline_rr4,2025-06-05 20:00:00+00:00,2025-06-05 20:00:00+00:00,2025-06-09 21:02:00+00:00,short,2527.5,2597.411,2597.411,2247.856,-69.91100000000006,15.374733,-85.28573300000006,bb_middle_stop,0.27107282033855606,-23.11864417895108,924.4299529554894,-4.837049425332947
ETHUSDT,bb_trendline_rr4,2025-06-09 22:00:00+00:00,2025-06-09 22:00:00+00:00,2025-06-13 00:33:00+00:00,long,2642.99,2532.7765,2532.7765,3083.843999999999,-110.21349999999984,15.5272995,-125.74079949999984,bb_middle_stop,0.16775258075562263,-21.093343622400276,903.3366093330891,-7.008446847252701
ETHUSDT,bb_trendline_rr4,2025-06-13 01:00:00+00:00,2025-06-13 01:00:00+00:00,2025-07-09 18:09:00+00:00,short,2528.08,2711.4385,2711.4385,1794.6460000000006,-183.35849999999985,15.7185555,-199.07705549999983,bb_middle_stop,0.09853228613160422,-19.615517394763238,883.7210919383258,-9.02771343026038
ETHUSDT,bb_trendline_rr4,2025-07-09 19:00:00+00:00,2025-07-09 19:00:00+00:00,2025-07-14 05:24:00+00:00,long,2717.25,3061.1899999999987,2631.2650000000003,3061.1899999999987,343.9399999999987,17.335319999999996,326.60467999999867,take_profit_rr,0.20555238516911767,67.13437098139615,950.855462919722,-2.1167465071974965
ETHUSDT,bb_trendline_rr4,2025-07-15 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-15 13:05:00+00:00,short,2951.43,3015.06,3015.06,2696.9099999999994,-63.63000000000011,17.89947,-81.52947000000012,bb_middle_stop,0.29887017536373417,-24.36672699621234,926.4887359235097,-4.625113560205137
ETHUSDT,bb_trendline_rr4,2025-07-15 14:00:00+00:00,2025-07-15 14:00:00+00:00,2025-07-15 14:52:00+00:00,long,3052.31,2988.8855,2988.8855,3306.0080000000003,-63.42450000000008,18.1235865,-81.54808650000008,bb_middle_stop,0.292154841086176,-23.82466825228926,902.6640676712204,-7.077679836429645
ETHUSDT,bb_trendline_rr4,2025-07-15 16:00:00+00:00,2025-07-15 16:00:00+00:00,2025-07-16 14:33:00+00:00,long,3040.16,3239.152,2990.412,3239.152,198.9920000000002,18.837936,180.15406400000015,take_profit_rr,0.36289461593278904,65.37693986401115,968.0410075352315,-0.3476269242416883
ETHUSDT,bb_trendline_rr4,2025-07-16 15:00:00+00:00,2025-07-16 15:00:00+00:00,2025-07-20 08:40:00+00:00,long,3252.53,3710.780000000002,3137.9675,3710.780000000002,458.2500000000018,20.889930000000007,437.3600700000018,take_profit_rr,0.16899788456697987,73.91292662406654,1041.9539341592981,0.0
