symbol,strategy_id,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
ETHUSDT,bb_trendline_rr4,2025-06-02 10:00:00+00:00,2025-06-02 10:00:00+00:00,2025-06-02 13:38:00+00:00,short,2480.21,2515.134,2515.134,2340.514,-34.92399999999998,14.986032,-49.91003199999998,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-02 23:00:00+00:00,2025-06-02 23:00:00+00:00,2025-06-05 19:17:00+00:00,long,2583.87,2516.925,2516.925,2851.6499999999987,-66.94499999999971,15.302385000000001,-82.24738499999971,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-07 14:00:00+00:00,2025-06-07 14:00:00+00:00,2025-06-08 09:27:00+00:00,long,2506.0,2488.3774999999996,2488.3774999999996,2576.4900000000016,-17.6225000000004,14.9831325,-32.6056325000004,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-08 10:00:00+00:00,2025-06-08 10:00:00+00:00,2025-06-08 11:22:00+00:00,short,2496.19,2514.726,2514.726,2422.046,-18.536000000000058,15.032748000000002,-33.568748000000056,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-08 20:00:00+00:00,2025-06-08 20:00:00+00:00,2025-06-08 22:26:00+00:00,long,2531.16,2514.0505,2514.0505,2599.598,-17.109500000000025,15.135631499999999,-32.24513150000003,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-09 17:00:00+00:00,2025-06-09 17:00:00+00:00,2025-06-10 11:16:00+00:00,long,2556.94,2736.4639999999995,2512.059,2736.4639999999995,179.52399999999943,15.880211999999998,163.64378799999943,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-06-10 12:00:00+00:00,2025-06-10 12:00:00+00:00,2025-06-12 20:40:00+00:00,long,2773.47,2659.618,2659.618,3228.8779999999992,-113.85199999999986,16.299264,-130.15126399999986,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-14 17:00:00+00:00,2025-06-14 17:00:00+00:00,2025-06-15 04:45:00+00:00,short,2496.12,2541.7165,2541.7165,2313.7339999999995,-45.596500000000106,15.1135095,-60.710009500000105,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-15 06:00:00+00:00,2025-06-15 06:00:00+00:00,2025-06-15 07:10:00+00:00,long,2550.07,2525.2855,2525.2855,2649.208000000001,-24.784500000000207,15.2260665,-40.01056650000021,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-15 21:00:00+00:00,2025-06-15 21:00:00+00:00,2025-06-15 22:04:00+00:00,short,2501.77,2532.273,2532.273,2379.7579999999994,-30.503000000000156,15.102129,-45.605129000000154,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-16 03:00:00+00:00,2025-06-16 03:00:00+00:00,2025-06-16 23:58:00+00:00,long,2573.45,2535.4155,2535.4155,2725.587999999999,-38.03449999999975,15.3265965,-53.36109649999975,bb_middle_stop
