symbol,strategy_id,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason,position_size,portfolio_pnl,equity,drawdown
ETHUSDT,atr_breakout,2025-06-01 14:46:00+00:00,2025-06-01 18:43:00+00:00,long,2517.124,2496.6976,2496.6976,,-20.42639999999983,7.520732399999999,-27.94713239999983,stop_loss,0.9791250538518861,-27.363737516155624,972.6362624838443,0.0
ETHUSDT,atr_breakout,2025-06-02 14:25:00+00:00,2025-06-03 13:00:00+00:00,long,2528.68,2612.03,2509.63,,83.35000000000036,7.711065,75.63893500000036,end_of_day,1.0211404330539195,77.23797484163764,1049.874237325482,0.0
ETHUSDT,atr_breakout,2025-06-03 14:55:00+00:00,2025-06-03 15:33:00+00:00,long,2651.717333333333,2625.9669333333336,2625.9669333333336,,-25.7503999999999,7.9165264,-33.6669263999999,stop_loss,0.8154236340604455,-27.452807472733472,1022.4214298527486,-2.6148662855723064
ETHUSDT,atr_breakout,2025-06-04 15:17:00+00:00,2025-06-04 17:33:00+00:00,long,2656.3740000000003,2632.2636,2632.2636,,-24.110400000000027,7.9329564,-32.04335640000003,stop_loss,0.8481165222084639,-27.17649998985435,995.2449298628942,-5.203414420545651
ETHUSDT,atr_breakout,2025-06-07 22:32:00+00:00,2025-06-08 00:46:00+00:00,long,2543.773714285714,2515.2414857142853,2515.2414857142853,,-28.53222857142873,7.5885228,-36.12075137142873,stop_loss,0.6976285973395719,-25.198869114101246,970.0460607487929,-7.603594196200926
ETHUSDT,atr_breakout,2025-06-09 19:24:00+00:00,2025-06-10 13:00:00+00:00,long,2587.1877777777777,2764.28,2561.509111111111,,177.09222222222252,8.027201666666667,169.06502055555586,end_of_day,0.7555268140210749,127.73315634274665,1097.7792170915395,0.0
ETHUSDT,atr_breakout,2025-06-16 05:26:00+00:00,2025-06-16 13:00:00+00:00,long,2580.660857142857,2615.37,2546.8503428571426,,34.70914285714298,7.794046285714285,26.91509657142869,end_of_day,0.6493714989454471,17.477896604850113,1115.2571136963898,0.0
ETHUSDT,atr_breakout,2025-06-16 20:45:00+00:00,2025-06-16 22:33:00+00:00,long,2672.462857142857,2637.391142857143,2637.391142857143,,-35.07171428571428,7.964781000000002,-43.03649528571428,stop_loss,0.6359866555771301,-27.37063670452235,1087.8864769918673,-2.4541996969475184
ETHUSDT,atr_breakout,2025-06-17 15:30:00+00:00,2025-06-17 19:18:00+00:00,short,2488.206571428572,2523.170628571429,2523.170628571429,,-34.9640571428572,7.5170658,-42.4811229428572,stop_loss,0.6222884675808347,-26.435512897223642,1061.4509640946437,-4.824551122871731
ETHUSDT,atr_breakout,2025-06-20 14:51:00+00:00,2025-06-21 13:00:00+00:00,short,2496.562,2435.94,2528.9188,,60.62199999999984,7.398753000000001,53.22324699999984,end_of_day,0.6560914330803064,34.91931639741701,1096.3702804920608,-1.693495873945221
