symbol,strategy_id,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
BTCUSDT,nw_envelope,2024-11-06 00:01:00,2024-11-06 19:55:00,short,69402.5,75790.27701897261,75790.27701897261,69214.19833247479,-6387.777018972614,217.78916552845894,-6605.566184501074,stop_loss
BTCUSDT,nw_envelope,2024-11-11 12:01:00,2024-11-11 23:13:00,short,82150.1,89538.25213798217,89538.25213798217,78140.22584556666,-7388.152137982164,257.53252820697327,-7645.684666189138,stop_loss
BTCUSDT,nw_envelope,2024-11-12 16:01:00,2024-11-20 13:30:00,short,86753.8,94417.68992445603,94417.68992445603,82011.04630967022,-7663.889924456031,271.7572348866841,-7935.647159342715,stop_loss
BTCUSDT,nw_envelope,2024-11-21 08:01:00,2024-11-25 22:39:00,short,97085.9,92867.42663862978,104525.25774439663,92867.42663862978,4218.473361370212,284.92998995794466,3933.5433714122673,take_profit
BTCUSDT,nw_envelope,2024-12-05 00:01:00,2024-12-05 22:26:00,short,98707.3,96710.85732365883,106868.88150042189,96710.85732365883,1996.4426763411757,293.12723598548826,1703.3154403556873,take_profit
BTCUSDT,nw_envelope,2024-12-19 16:01:00,2025-01-09 20:21:00,long,100568.1,91314.81597455377,91314.81597455377,103475.44904435799,-9253.284025446235,287.8243739618307,-9541.108399408065,stop_loss
BTCUSDT,nw_envelope,2025-02-03 00:01:00,2025-02-03 19:45:00,long,97695.6,101279.9679419155,86874.60105947722,101279.9679419155,3584.367941915494,298.4633519128733,3285.904590002621,take_profit
BTCUSDT,nw_envelope,2025-02-25 12:01:00,2025-02-28 05:54:00,long,89156.2,79135.29231571849,79135.29231571849,94463.56548351412,-10020.907684281512,252.43723847357776,-10273.34492275509,stop_loss
BTCUSDT,nw_envelope,2025-03-02 16:01:00,2025-03-03 19:55:00,short,87694.0,85702.53730108206,98282.12997329736,85702.53730108206,1991.4626989179378,260.0948059516231,1731.3678929663147,take_profit
BTCUSDT,nw_envelope,2025-07-10 20:01:00,2025-07-14 03:43:00,short,113258.5,121578.52486897277,121578.52486897277,109972.81052512524,-8320.024868972774,352.25553730345916,-8672.280406276233,stop_loss
BTCUSDT,nw_envelope,2025-07-14 04:01:00,2025-07-15 03:38:00,short,120777.2,116992.25687233587,129282.62671229849,116992.25687233587,3784.943127664126,356.6541853085038,3428.2889423556226,take_profit
BTCUSDT,nw_envelope,2025-10-01 20:01:00,2025-10-05 04:45:00,short,117288.4,124710.51494230004,124710.51494230004,113547.31476361997,-7422.114942300046,362.99837241345006,-7785.113314713496,stop_loss
BTCUSDT,nw_envelope,2025-10-10 16:01:00,2025-10-10 21:13:00,long,118830.4,111207.37676563856,111207.37676563856,121753.03510800873,-7623.023234361433,345.05666514845785,-7968.079899509891,stop_loss
BTCUSDT,nw_envelope,2025-11-04 16:01:00,2025-11-16 17:56:00,long,103394.5,93658.8918709256,93658.8918709256,107726.12641188891,-9735.608129074404,295.5800878063884,-10031.188216880793,stop_loss
BTCUSDT,nw_envelope,2025-11-21 04:01:00,2025-11-27 01:05:00,long,85829.0,90863.01661283747,75753.65773036807,90863.01661283747,5034.016612837469,265.0380249192562,4768.978587918214,take_profit
