timestamp,open,high,low,close,volume,turnover
2025-06-03 17:01:00+00:00,2605.37,2610.72,2605.0,2610.72,2993.05,7807330.2216
2025-06-03 17:02:00+00:00,2610.72,2611.63,2609.79,2611.2,1730.35,4517488.5776
2025-06-03 17:03:00+00:00,2611.2,2611.55,2609.89,2610.59,1177.37,3073817.3326
2025-06-03 17:04:00+00:00,2610.59,2611.62,2609.55,2611.36,1083.99,2829950.5832
2025-06-03 17:05:00+00:00,2611.36,2611.72,2609.01,2611.63,983.67,2568023.4259
2025-06-03 17:06:00+00:00,2611.63,2611.68,2609.92,2610.46,522.33,1363782.3882
2025-06-03 17:07:00+00:00,2610.46,2612.62,2609.6,2611.37,2165.05,5654298.6477
2025-06-03 17:08:00+00:00,2611.37,2612.09,2610.09,2611.91,434.35,1134280.3379
2025-06-03 17:09:00+00:00,2611.91,2614.38,2611.54,2613.85,437.6,1143520.8576
2025-06-03 17:10:00+00:00,2613.85,2615.7,2613.85,2615.1,2034.05,5319047.0376
2025-06-03 17:11:00+00:00,2615.1,2615.69,2613.38,2615.49,759.75,1986486.2484
2025-06-03 17:12:00+00:00,2615.49,2615.79,2614.79,2615.58,886.65,2318869.6545
2025-06-03 17:13:00+00:00,2615.58,2616.0,2614.86,2615.07,644.29,1685151.9006
2025-06-03 17:14:00+00:00,2615.07,2616.0,2614.9,2615.53,3001.2,7848787.7916
2025-06-03 17:15:00+00:00,2615.53,2617.91,2615.1,2615.84,1971.18,5157779.4342
2025-06-03 17:16:00+00:00,2615.84,2619.59,2615.45,2618.7,3649.91,9555387.4201
2025-06-03 17:17:00+00:00,2618.7,2621.26,2617.8,2619.45,3614.81,9471428.3195
2025-06-03 17:18:00+00:00,2619.45,2621.7,2618.9,2619.76,2480.78,6500746.5431
2025-06-03 17:19:00+00:00,2619.76,2620.09,2617.0,2617.9,410.51,1074787.4366
2025-06-03 17:20:00+00:00,2617.9,2621.6,2617.9,2621.19,1038.49,2720528.2121
2025-06-03 17:21:00+00:00,2621.19,2623.64,2621.11,2622.83,1645.15,4314769.1975
2025-06-03 17:22:00+00:00,2622.83,2622.83,2621.29,2621.99,642.19,1683836.5902
2025-06-03 17:23:00+00:00,2621.99,2623.68,2621.78,2623.67,710.61,1864006.1345
2025-06-03 17:24:00+00:00,2623.67,2623.72,2621.53,2621.53,461.21,1209796.6331
2025-06-03 17:25:00+00:00,2621.53,2621.87,2620.39,2620.97,1285.12,3368374.0048
2025-06-03 17:26:00+00:00,2620.97,2626.42,2620.74,2625.29,3327.69,8734972.3193
2025-06-03 17:27:00+00:00,2625.29,2625.78,2622.32,2623.79,677.67,1778103.4157
2025-06-03 17:28:00+00:00,2623.79,2624.65,2622.23,2622.66,535.67,1405064.4374
2025-06-03 17:29:00+00:00,2622.66,2623.99,2622.1,2622.25,376.72,988041.2662
2025-06-03 17:30:00+00:00,2622.25,2623.2,2617.64,2617.8,1219.57,3195318.1028
2025-06-03 17:31:00+00:00,2617.8,2618.79,2616.8,2618.79,806.18,2110443.4174
2025-06-03 17:32:00+00:00,2618.79,2618.88,2616.21,2617.68,611.08,1599421.0209
2025-06-03 17:33:00+00:00,2617.68,2618.21,2616.98,2617.44,206.4,540237.4618
2025-06-03 17:34:00+00:00,2617.44,2617.64,2616.25,2616.69,586.45,1534762.184
2025-06-03 17:35:00+00:00,2616.69,2617.13,2615.04,2616.68,938.01,2453570.054
2025-06-03 17:36:00+00:00,2616.68,2618.7,2616.39,2618.7,428.03,1120179.9786
2025-06-03 17:37:00+00:00,2618.7,2622.49,2618.7,2621.83,1325.24,3472498.2301
2025-06-03 17:38:00+00:00,2621.83,2622.2,2620.81,2621.14,220.09,576937.3771
2025-06-03 17:39:00+00:00,2621.14,2621.9,2620.74,2620.94,615.56,1613574.5793
2025-06-03 17:40:00+00:00,2620.94,2621.62,2620.45,2620.71,237.57,622633.1405
2025-06-03 17:41:00+00:00,2620.71,2620.71,2618.64,2619.68,692.36,1813910.7646
2025-06-03 17:42:00+00:00,2619.68,2619.78,2618.53,2618.78,496.15,1299410.2251
2025-06-03 17:43:00+00:00,2618.78,2619.26,2615.76,2618.31,738.93,1933762.7673
2025-06-03 17:44:00+00:00,2618.31,2619.28,2617.99,2618.46,317.56,831541.8059
2025-06-03 17:45:00+00:00,2618.46,2618.66,2616.37,2616.52,675.49,1767909.7876
2025-06-03 17:46:00+00:00,2616.52,2616.52,2614.69,2615.0,647.63,1693675.4012
2025-06-03 17:47:00+00:00,2615.0,2616.0,2614.69,2614.82,523.91,1370039.9561
2025-06-03 17:48:00+00:00,2614.82,2616.0,2614.22,2614.26,748.12,1956328.3835
2025-06-03 17:49:00+00:00,2614.26,2615.56,2614.26,2614.77,150.21,392796.9375
2025-06-03 17:50:00+00:00,2614.77,2616.38,2613.04,2615.61,798.19,2086781.5688
2025-06-03 17:51:00+00:00,2615.61,2621.2,2615.6,2621.03,1758.18,4604316.6932
2025-06-03 17:52:00+00:00,2621.03,2621.36,2617.57,2617.57,480.75,1259268.8619
2025-06-03 17:53:00+00:00,2617.57,2619.03,2617.57,2618.45,821.91,2152160.4937
2025-06-03 17:54:00+00:00,2618.45,2619.55,2618.45,2619.47,241.82,633329.0613
2025-06-03 17:55:00+00:00,2619.47,2620.34,2618.15,2619.6,990.37,2593947.0106
2025-06-03 17:56:00+00:00,2619.6,2619.8,2618.5,2618.6,173.52,454503.7091
2025-06-03 17:57:00+00:00,2618.6,2618.6,2616.01,2617.5,1180.65,3090131.9353
2025-06-03 17:58:00+00:00,2617.5,2618.54,2617.12,2617.96,674.19,1764822.7775
2025-06-03 17:59:00+00:00,2617.96,2618.24,2617.48,2617.9,249.11,652171.0672
2025-06-03 18:00:00+00:00,2617.9,2618.33,2616.06,2616.53,663.3,1735956.3037
2025-06-03 18:01:00+00:00,2616.53,2616.53,2613.65,2613.85,1761.36,4606075.8805
2025-06-03 18:02:00+00:00,2613.85,2614.55,2610.21,2611.0,2392.8,6249542.1721
2025-06-03 18:03:00+00:00,2611.0,2611.0,2606.48,2608.06,4360.4,11374107.3864
2025-06-03 18:04:00+00:00,2608.06,2612.14,2607.64,2611.3,1159.54,3026565.5444
2025-06-03 18:05:00+00:00,2611.3,2612.2,2610.11,2610.69,1437.37,3753085.877
2025-06-03 18:06:00+00:00,2610.69,2611.41,2606.89,2611.21,889.98,2321978.8756
2025-06-03 18:07:00+00:00,2611.21,2611.38,2609.89,2611.01,232.41,606717.382
2025-06-03 18:08:00+00:00,2611.01,2612.1,2610.02,2611.72,415.63,1085397.6791
2025-06-03 18:09:00+00:00,2611.72,2611.72,2610.0,2611.21,223.98,584763.8729
2025-06-03 18:10:00+00:00,2611.21,2611.21,2605.47,2607.5,1799.15,4691076.2187
2025-06-03 18:11:00+00:00,2607.5,2608.64,2605.37,2608.29,2288.79,5965472.9456
2025-06-03 18:12:00+00:00,2608.29,2608.49,2605.72,2608.29,1384.33,3609294.2587
2025-06-03 18:13:00+00:00,2608.29,2610.67,2608.29,2609.78,976.9,2549778.4801
2025-06-03 18:14:00+00:00,2609.78,2610.16,2608.01,2608.3,304.76,795168.9189
2025-06-03 18:15:00+00:00,2608.3,2608.3,2606.09,2607.06,1015.55,2647762.5777
2025-06-03 18:16:00+00:00,2607.06,2607.46,2605.71,2607.06,180.35,470078.3324
2025-06-03 18:17:00+00:00,2607.06,2607.77,2606.09,2607.38,378.92,987835.2559
2025-06-03 18:18:00+00:00,2607.38,2609.02,2606.78,2608.54,662.96,1729237.9102
2025-06-03 18:19:00+00:00,2608.54,2613.35,2608.54,2612.86,2563.2,6695310.4459
2025-06-03 18:20:00+00:00,2612.86,2614.69,2612.86,2613.82,1404.0,3669954.8567
2025-06-03 18:21:00+00:00,2613.82,2613.82,2612.57,2613.68,374.23,978063.4497
2025-06-03 18:22:00+00:00,2613.68,2613.71,2612.35,2612.71,219.29,572981.839
2025-06-03 18:23:00+00:00,2612.71,2614.06,2612.01,2614.06,947.24,2475590.598
2025-06-03 18:24:00+00:00,2614.06,2615.9,2613.46,2613.5,1221.63,3194322.7341
2025-06-03 18:25:00+00:00,2613.5,2614.2,2613.05,2613.9,422.61,1104537.0106
2025-06-03 18:26:00+00:00,2613.9,2614.19,2612.45,2612.57,152.02,397329.4847
2025-06-03 18:27:00+00:00,2612.57,2613.38,2612.57,2613.09,71.4,186568.2115
2025-06-03 18:28:00+00:00,2613.09,2613.12,2612.23,2612.82,102.49,267758.4036
2025-06-03 18:29:00+00:00,2612.82,2613.26,2612.48,2612.49,66.43,173582.3337
2025-06-03 18:30:00+00:00,2612.49,2614.31,2612.0,2614.31,684.18,1787769.9241
2025-06-03 18:31:00+00:00,2614.31,2614.81,2613.98,2614.21,767.68,2007120.9054
2025-06-03 18:32:00+00:00,2614.21,2615.65,2614.21,2614.82,901.04,2356092.4883
2025-06-03 18:33:00+00:00,2614.82,2615.13,2612.9,2612.9,938.16,2452679.8071
2025-06-03 18:34:00+00:00,2612.9,2613.42,2611.9,2613.03,403.37,1053789.3418
2025-06-03 18:35:00+00:00,2613.03,2613.41,2611.29,2611.42,336.89,879968.6231
2025-06-03 18:36:00+00:00,2611.42,2611.42,2609.04,2610.19,908.55,2371429.2294
2025-06-03 18:37:00+00:00,2610.19,2610.49,2609.26,2610.49,252.97,660257.0257
2025-06-03 18:38:00+00:00,2610.49,2613.9,2610.35,2613.9,263.85,689340.6193
2025-06-03 18:39:00+00:00,2613.9,2615.32,2613.22,2615.32,633.34,1655586.9348
2025-06-03 18:40:00+00:00,2615.32,2616.66,2614.48,2614.51,577.34,1510057.5804
2025-06-03 18:41:00+00:00,2614.51,2617.07,2614.04,2616.33,759.39,1986599.4068
2025-06-03 18:42:00+00:00,2616.33,2616.34,2614.87,2615.44,242.57,634425.8857
2025-06-03 18:43:00+00:00,2615.44,2616.37,2615.44,2616.31,499.98,1307933.1579
2025-06-03 18:44:00+00:00,2616.31,2617.5,2616.31,2617.14,470.13,1230369.9683
2025-06-03 18:45:00+00:00,2617.14,2617.59,2616.71,2617.0,441.25,1154819.729
2025-06-03 18:46:00+00:00,2617.0,2618.0,2616.99,2617.75,406.24,1063325.0342
2025-06-03 18:47:00+00:00,2617.75,2617.75,2615.51,2615.78,944.57,2471633.0025
2025-06-03 18:48:00+00:00,2615.78,2616.99,2615.64,2615.64,83.9,219504.2808
2025-06-03 18:49:00+00:00,2615.64,2616.83,2615.49,2615.84,148.7,389001.6423
2025-06-03 18:50:00+00:00,2615.84,2616.29,2615.01,2615.94,231.56,605723.9417
2025-06-03 18:51:00+00:00,2615.94,2616.77,2614.21,2614.25,476.27,1245683.9119
2025-06-03 18:52:00+00:00,2614.25,2615.37,2614.0,2614.09,120.15,314131.9011
2025-06-03 18:53:00+00:00,2614.09,2615.3,2614.08,2615.3,268.93,703165.3308
2025-06-03 18:54:00+00:00,2615.3,2616.03,2614.51,2615.97,314.66,822858.1367
2025-06-03 18:55:00+00:00,2615.97,2617.48,2615.59,2616.89,784.61,2052908.1885
2025-06-03 18:56:00+00:00,2616.89,2618.49,2616.89,2618.38,884.77,2316069.1198
2025-06-03 18:57:00+00:00,2618.38,2619.3,2618.15,2618.95,523.38,1370578.0261
2025-06-03 18:58:00+00:00,2618.95,2618.96,2615.9,2616.88,1278.49,3346374.5849
2025-06-03 18:59:00+00:00,2616.88,2617.65,2616.53,2617.01,244.25,639248.897
2025-06-03 19:00:00+00:00,2617.01,2620.59,2617.0,2619.57,1362.35,3569146.2288
2025-06-03 19:01:00+00:00,2619.57,2620.31,2618.1,2618.37,422.09,1105496.9071
2025-06-03 19:02:00+00:00,2618.37,2619.0,2618.04,2618.21,199.31,521917.2489
2025-06-03 19:03:00+00:00,2618.21,2621.61,2618.21,2621.61,1262.39,3307081.7515
2025-06-03 19:04:00+00:00,2621.61,2621.93,2620.94,2621.11,630.87,1653764.9861
2025-06-03 19:05:00+00:00,2621.11,2623.03,2621.1,2622.81,1736.53,4553625.7501
2025-06-03 19:06:00+00:00,2622.81,2625.1,2622.6,2624.23,2048.65,5375885.4212
2025-06-03 19:07:00+00:00,2624.23,2624.23,2622.43,2623.59,1607.32,4216073.6956
2025-06-03 19:08:00+00:00,2623.59,2624.76,2622.96,2623.61,1498.09,3930625.0044
2025-06-03 19:09:00+00:00,2623.61,2623.62,2621.82,2622.6,1906.52,5000568.5646
2025-06-03 19:10:00+00:00,2622.6,2622.6,2620.26,2620.27,327.84,859208.4707
2025-06-03 19:11:00+00:00,2620.27,2620.27,2618.37,2619.79,686.84,1798920.2367
2025-06-03 19:12:00+00:00,2619.79,2621.09,2619.78,2621.09,466.24,1221660.5327
2025-06-03 19:13:00+00:00,2621.09,2621.53,2620.65,2621.02,731.86,1918214.6791
2025-06-03 19:14:00+00:00,2621.02,2621.02,2619.31,2619.67,767.74,2011641.3583
2025-06-03 19:15:00+00:00,2619.67,2620.31,2618.47,2620.28,618.87,1620902.8087
2025-06-03 19:16:00+00:00,2620.28,2621.08,2619.6,2620.17,271.98,712688.6145
2025-06-03 19:17:00+00:00,2620.17,2623.62,2620.17,2623.42,672.71,1764085.1118
2025-06-03 19:18:00+00:00,2623.42,2625.19,2623.41,2625.18,947.03,2485342.6915
2025-06-03 19:19:00+00:00,2625.18,2625.19,2623.68,2624.13,283.27,743316.8179
2025-06-03 19:20:00+00:00,2624.13,2624.62,2623.51,2623.51,251.98,661195.6458
2025-06-03 19:21:00+00:00,2623.51,2624.57,2623.11,2624.41,202.94,532453.3998
2025-06-03 19:22:00+00:00,2624.41,2625.0,2623.71,2624.25,438.7,1151312.9088
2025-06-03 19:23:00+00:00,2624.25,2625.28,2623.93,2624.8,405.21,1063466.0321
2025-06-03 19:24:00+00:00,2624.8,2625.99,2624.64,2625.61,317.25,832891.3476
2025-06-03 19:25:00+00:00,2625.61,2625.9,2623.56,2623.57,410.61,1077781.3244
2025-06-03 19:26:00+00:00,2623.57,2626.2,2623.56,2626.2,624.64,1639451.1522
2025-06-03 19:27:00+00:00,2626.2,2626.2,2625.3,2625.61,231.06,606677.7873
2025-06-03 19:28:00+00:00,2625.61,2627.71,2625.6,2627.01,1160.39,3048030.3826
2025-06-03 19:29:00+00:00,2627.01,2627.54,2625.0,2625.0,1388.46,3646739.4197
2025-06-03 19:30:00+00:00,2625.0,2625.0,2621.44,2623.04,600.36,1574477.0696
