timestamp,open,high,low,close,volume,imbalance_ratio
2023-05-31 14:00:00+00:00,1864.98,1866.3,1860.72,1862.26,11684.57,-0.00010326390656593126
2023-05-31 14:15:00+00:00,1862.26,1865.0,1844.91,1854.72,43163.07,-0.00033196246283955785
2023-05-31 14:30:00+00:00,1854.72,1858.28,1852.54,1858.05,7021.1,0.00012589691735099865
2023-05-31 14:45:00+00:00,1858.05,1862.86,1857.0,1860.47,5586.110000000001,0.0001532081465516293
2023-05-31 15:00:00+00:00,1860.47,1861.66,1856.65,1856.66,4066.09,-0.00012600797279459247
2023-05-31 15:15:00+00:00,1856.66,1860.24,1856.59,1856.86,2680.89,-1.7779354274422906e-06
2023-05-31 15:30:00+00:00,1856.86,1859.76,1856.56,1858.02,2917.9900000000002,1.7949492790818654e-06
2023-05-31 15:45:00+00:00,1858.02,1859.31,1855.8,1857.34,3932.72,-1.1857563321292255e-05
2023-05-31 16:00:00+00:00,1857.34,1859.92,1853.96,1859.9,4710.53,6.877199793890809e-05
2023-05-31 16:15:00+00:00,1859.9,1861.31,1858.31,1861.2,2248.1,2.9651224549741134e-05
2023-05-31 16:30:00+00:00,1861.2,1861.2,1858.28,1859.18,1495.15,-4.589310273553941e-05
2023-05-31 16:45:00+00:00,1859.18,1861.33,1855.37,1859.09,3777.25,-1.013131750509862e-05
2023-05-31 17:00:00+00:00,1859.09,1860.41,1858.06,1859.41,666.02,2.6502586604947862e-05
2023-05-31 17:15:00+00:00,1859.41,1861.9,1858.6,1861.68,1564.93,4.938313033080657e-05
2023-05-31 17:30:00+00:00,1861.68,1867.55,1860.74,1864.42,5691.03,0.00014598752627998865
2023-05-31 17:45:00+00:00,1864.42,1866.38,1862.6,1865.13,3465.42,2.7125548267754946e-05
2023-05-31 18:00:00+00:00,1865.13,1866.04,1864.24,1864.87,1700.99,-3.228043330301573e-05
2023-05-31 18:15:00+00:00,1864.87,1864.95,1862.15,1864.54,2142.92,-2.109804377474901e-05
2023-05-31 18:30:00+00:00,1864.54,1864.64,1862.95,1864.35,570.5699999999999,-1.2473466013840107e-06
2023-05-31 18:45:00+00:00,1864.35,1864.78,1860.77,1862.89,2263.2000000000003,-4.60176478353775e-05
2023-05-31 19:00:00+00:00,1862.89,1863.75,1860.43,1863.03,1016.95,-7.787639076874511e-06
2023-05-31 19:15:00+00:00,1863.03,1864.43,1862.51,1863.15,2416.7000000000003,2.2001795463065878e-05
2023-05-31 19:30:00+00:00,1863.15,1868.25,1862.53,1867.94,2275.21,0.0001220215559504811
2023-05-31 19:45:00+00:00,1867.94,1869.01,1862.5,1862.67,3919.5499999999997,-9.163354443533894e-05
2023-05-31 20:00:00+00:00,1862.67,1865.48,1862.28,1865.4,1685.44,3.62008686403243e-05
2023-05-31 20:15:00+00:00,1865.4,1868.0,1864.71,1867.22,1062.29,7.241999776939776e-05
2023-05-31 20:30:00+00:00,1867.22,1867.68,1864.82,1865.5,1075.86,-6.847748305612124e-05
2023-05-31 20:45:00+00:00,1865.5,1865.85,1863.02,1864.25,1245.32,-4.778388116988624e-05
