type,price,timestamp,entry_price,pnl,entry_timestamp,gross_pnl,fee,exit_reason,bars_held
CLOSE_SHORT,3571.21,166333,3575.88,-0.6903174999999271,166324.0,4.670000000000073,5.3603175,prediction_reversal_bullish,9.0
OPEN_LONG,3571.19,166334,3571.19,0.0,,,,,
CLOSE_LONG,3502.3,166367,3571.19,-74.19511749999987,166334.0,-68.88999999999987,5.3051175,prediction_reversal_bearish,33.0
OPEN_SHORT,3506.87,166368,3506.87,0.0,,,,,
CLOSE_SHORT,3495.19,166369,3506.87,6.428454999999836,166368.0,11.679999999999836,5.251545,prediction_reversal_bullish,1.0
OPEN_SHORT,3497.71,166370,3497.71,0.0,,,,,
CLOSE_SHORT,3501.15,166373,3497.71,-8.689145000000055,166370.0,-3.4400000000000546,5.249145,prediction_reversal_bullish,3.0
OPEN_SHORT,3502.38,166374,3502.38,0.0,,,,,
CLOSE_SHORT,3509.18,166383,3502.38,-12.058669999999726,166374.0,-6.799999999999727,5.2586699999999995,prediction_reversal_bullish,9.0
OPEN_SHORT,3514.31,166384,3514.31,0.0,,,,,
CLOSE_SHORT,3494.78,166387,3514.31,14.273182499999745,166384.0,19.529999999999745,5.2568175,prediction_reversal_bullish,3.0
OPEN_LONG,3486.14,166388,3486.14,0.0,,,,,
CLOSE_LONG,3482.73,166397,3486.14,-8.636652499999855,166388.0,-3.4099999999998545,5.2266525,prediction_reversal_bearish,9.0
OPEN_SHORT,3480.94,166398,3480.94,0.0,,,,,
CLOSE_SHORT,3477.29,166409,3480.94,-1.5686724999999084,166398.0,3.650000000000091,5.218672499999999,prediction_reversal_bullish,11.0
OPEN_LONG,3466.0,166410,3466.0,0.0,,,,,
CLOSE_LONG,3459.5,166419,3466.0,-11.694125,166410.0,-6.5,5.1941250000000005,prediction_reversal_bearish,9.0
OPEN_LONG,3431.12,166426,3431.12,0.0,,,,,
CLOSE_LONG,3427.6,166437,3431.12,-8.664039999999982,166426.0,-3.519999999999982,5.1440399999999995,prediction_reversal_bearish,11.0
OPEN_LONG,3411.49,166442,3411.49,0.0,,,,,
CLOSE_LONG,3395.86,166449,3411.49,-20.735512499999654,166442.0,-15.629999999999654,5.105512500000001,prediction_reversal_bearish,7.0
OPEN_SHORT,3398.19,166450,3398.19,0.0,,,,,
CLOSE_SHORT,3390.43,166458,3398.19,2.668535000000218,166450.0,7.760000000000218,5.091465,prediction_reversal_bullish,8.0
OPEN_SHORT,3395.39,166465,3395.39,0.0,,,,,
CLOSE_SHORT,3404.86,166474,3395.39,-14.570187500000255,166465.0,-9.470000000000255,5.1001875000000005,prediction_reversal_bullish,9.0
OPEN_SHORT,3409.84,166479,3409.84,0.0,,,,,
CLOSE_SHORT,3398.92,166481,3409.84,5.813430000000072,166479.0,10.920000000000073,5.1065700000000005,prediction_reversal_bullish,2.0
OPEN_LONG,3400.08,166482,3400.08,0.0,,,,,
CLOSE_LONG,3399.73,166489,3400.08,-5.449857499999909,166482.0,-0.34999999999990905,5.0998575,prediction_reversal_bearish,7.0
OPEN_SHORT,3407.03,166490,3407.03,0.0,,,,,
CLOSE_SHORT,3394.21,166495,3407.03,7.719070000000164,166490.0,12.820000000000164,5.10093,prediction_reversal_bullish,5.0
OPEN_SHORT,3402.15,166497,3402.15,0.0,,,,,
CLOSE_SHORT,3400.44,166508,3402.15,-3.3919424999999634,166497.0,1.7100000000000364,5.1019425,prediction_reversal_bullish,11.0
OPEN_LONG,3392.8,166510,3392.8,0.0,,,,,
CLOSE_LONG,3397.79,166515,3392.8,-0.10294250000021865,166510.0,4.989999999999782,5.0929425,prediction_reversal_bearish,5.0
OPEN_SHORT,3395.28,166517,3395.28,0.0,,,,,
CLOSE_SHORT,3429.52,166538,3395.28,-39.35859999999978,166517.0,-34.23999999999978,5.1186,prediction_reversal_bullish,21.0
OPEN_LONG,3428.34,166540,3428.34,0.0,,,,,
CLOSE_LONG,3434.17,166546,3428.34,0.683117499999927,166540.0,5.829999999999927,5.1468825,prediction_reversal_bearish,6.0
OPEN_SHORT,3432.87,166547,3432.87,0.0,,,,,
CLOSE_SHORT,3427.78,166553,3432.87,-0.055487500000309,166547.0,5.089999999999691,5.1454875,prediction_reversal_bullish,6.0
OPEN_SHORT,3437.61,166556,3437.61,0.0,,,,,
CLOSE_SHORT,3438.82,166563,3437.61,-6.367322500000037,166556.0,-1.2100000000000364,5.1573225,prediction_reversal_bullish,7.0
OPEN_LONG,3432.57,166565,3432.57,0.0,,,,,
CLOSE_LONG,3436.2,166570,3432.57,-1.5215775000003458,166565.0,3.6299999999996544,5.1515775,prediction_reversal_bearish,5.0
OPEN_SHORT,3445.52,166575,3445.52,0.0,,,,,
CLOSE_SHORT,3438.76,166580,3445.52,1.5967899999997632,166575.0,6.7599999999997635,5.16321,prediction_reversal_bullish,5.0
OPEN_LONG,3430.54,166581,3430.54,0.0,,,,,
CLOSE_LONG,3433.64,166586,3430.54,-2.048135000000091,166581.0,3.099999999999909,5.148135,prediction_reversal_bearish,5.0
OPEN_SHORT,3438.25,166588,3438.25,0.0,,,,,
CLOSE_SHORT,3434.5,166595,3438.25,-1.4045625,166588.0,3.75,5.1545625,prediction_reversal_bullish,7.0
OPEN_LONG,3430.4,166598,3430.4,0.0,,,,,
CLOSE_LONG,3421.07,166608,3430.4,-14.468602499999928,166598.0,-9.329999999999927,5.1386025,prediction_reversal_bearish,10.0
OPEN_SHORT,3425.59,166609,3425.59,0.0,,,,,
CLOSE_SHORT,3415.6,166616,3425.59,4.859107500000236,166609.0,9.990000000000236,5.130892500000001,prediction_reversal_bullish,7.0
OPEN_LONG,3408.99,166618,3408.99,0.0,,,,,
CLOSE_LONG,3399.6,166630,3408.99,-14.496442499999873,166618.0,-9.389999999999873,5.1064425,prediction_reversal_bearish,12.0
OPEN_LONG,3380.0,166642,3380.0,0.0,,,,,
CLOSE_LONG,3378.51,166652,3380.0,-6.558882499999782,166642.0,-1.4899999999997817,5.0688825,prediction_reversal_bearish,10.0
OPEN_SHORT,3387.44,166653,3387.44,0.0,,,,,
CLOSE_SHORT,3403.38,166662,3387.44,-21.033115000000056,166653.0,-15.940000000000055,5.093115,prediction_reversal_bullish,9.0
OPEN_SHORT,3409.67,166668,3409.67,0.0,,,,,
CLOSE_SHORT,3404.03,166674,3409.67,0.5297249999998721,166668.0,5.639999999999873,5.110275000000001,prediction_reversal_bullish,6.0
OPEN_LONG,3399.95,166676,3399.95,0.0,,,,,
CLOSE_LONG,3414.9,166678,3399.95,9.838862500000271,166676.0,14.950000000000273,5.111137500000001,prediction_reversal_bearish,2.0
OPEN_SHORT,3411.87,166679,3411.87,0.0,,,,,
CLOSE_SHORT,3409.92,166687,3411.87,-3.166342500000182,166679.0,1.949999999999818,5.1163425,prediction_reversal_bullish,8.0
OPEN_LONG,3410.67,166688,3410.67,0.0,,,,,
CLOSE_LONG,3419.27,166692,3410.67,3.4775449999999086,166688.0,8.599999999999909,5.122455,prediction_reversal_bearish,4.0
OPEN_SHORT,3419.37,166693,3419.37,0.0,,,,,
CLOSE_SHORT,3424.62,166712,3419.37,-10.3829925,166693.0,-5.25,5.1329925,prediction_reversal_bullish,19.0
OPEN_LONG,3418.63,166721,3418.63,0.0,,,,,
CLOSE_LONG,3420.27,166727,3418.63,-3.4891750000001274,166721.0,1.6399999999998727,5.129175,prediction_reversal_bearish,6.0
OPEN_LONG,3409.44,166732,3409.44,0.0,,,,,
CLOSE_LONG,3418.47,166736,3409.44,3.909067499999745,166732.0,9.029999999999745,5.1209325,prediction_reversal_bearish,4.0
OPEN_SHORT,3421.8,166745,3421.8,0.0,,,,,
CLOSE_SHORT,3419.86,166758,3421.8,-3.1912449999999453,166745.0,1.9400000000000546,5.131245,prediction_reversal_bullish,13.0
OPEN_LONG,3418.7,166759,3418.7,0.0,,,,,
CLOSE_LONG,3423.0,166768,3418.7,-0.8312749999998177,166759.0,4.300000000000182,5.131275,prediction_reversal_bearish,9.0
OPEN_LONG,3417.3,166775,3417.3,0.0,,,,,
CLOSE_LONG,3420.6,166790,3417.3,-1.8284250000002729,166775.0,3.299999999999727,5.128425,prediction_reversal_bearish,15.0
OPEN_SHORT,3419.85,166791,3419.85,0.0,,,,,
