type,price,timestamp,entry_price,pnl
OPEN_SHORT,3208.9,126,3208.9,0.0
CLOSE_SHORT,3197.78,136,3208.9,11.11999999999989
OPEN_LONG,3197.78,136,3197.78,0.0
CLOSE_LONG,3227.14,154,3197.78,29.359999999999673
OPEN_SHORT,3227.14,154,3227.14,0.0
CLOSE_SHORT,3235.25,163,3227.14,-8.110000000000127
OPEN_LONG,3235.25,163,3235.25,0.0
CLOSE_LONG,3256.05,252,3235.25,20.800000000000182
OPEN_SHORT,3256.05,252,3256.05,0.0
CLOSE_SHORT,3240.34,277,3256.05,15.710000000000036
OPEN_LONG,3240.34,277,3240.34,0.0
CLOSE_LONG,3246.48,294,3240.34,6.139999999999873
OPEN_SHORT,3246.48,294,3246.48,0.0
CLOSE_SHORT,3243.3,312,3246.48,3.1799999999998363
OPEN_LONG,3243.3,312,3243.3,0.0
CLOSE_LONG,3247.0,527,3243.3,3.699999999999818
OPEN_SHORT,3247.0,527,3247.0,0.0
CLOSE_SHORT,3248.51,532,3247.0,-1.5100000000002183
OPEN_LONG,3248.51,532,3248.51,0.0
CLOSE_LONG,3242.16,571,3248.51,-6.350000000000364
OPEN_SHORT,3242.16,571,3242.16,0.0
CLOSE_SHORT,3239.11,585,3242.16,3.049999999999727
OPEN_LONG,3239.11,585,3239.11,0.0
CLOSE_LONG,3242.84,607,3239.11,3.730000000000018
OPEN_SHORT,3242.84,607,3242.84,0.0
CLOSE_SHORT,3239.88,621,3242.84,2.9600000000000364
OPEN_LONG,3239.88,621,3239.88,0.0
CLOSE_LONG,3232.95,640,3239.88,-6.930000000000291
OPEN_SHORT,3232.95,640,3232.95,0.0
CLOSE_SHORT,3239.15,645,3232.95,-6.200000000000273
OPEN_LONG,3239.15,645,3239.15,0.0
CLOSE_LONG,3249.16,666,3239.15,10.009999999999764
OPEN_SHORT,3249.16,666,3249.16,0.0
CLOSE_SHORT,3252.16,677,3249.16,-3.0
OPEN_LONG,3252.16,677,3252.16,0.0
CLOSE_LONG,3238.91,731,3252.16,-13.25
OPEN_SHORT,3238.91,731,3238.91,0.0
CLOSE_SHORT,3238.83,743,3238.91,0.07999999999992724
OPEN_LONG,3238.83,743,3238.83,0.0
CLOSE_LONG,3236.14,778,3238.83,-2.6900000000000546
OPEN_SHORT,3236.14,778,3236.14,0.0
CLOSE_SHORT,3237.82,787,3236.14,-1.680000000000291
OPEN_LONG,3237.82,787,3237.82,0.0
CLOSE_LONG,3244.04,877,3237.82,6.2199999999998
OPEN_SHORT,3244.04,877,3244.04,0.0
CLOSE_SHORT,3243.68,891,3244.04,0.36000000000012733
OPEN_LONG,3243.68,891,3243.68,0.0
CLOSE_LONG,3226.5,937,3243.68,-17.179999999999836
OPEN_SHORT,3226.5,937,3226.5,0.0
CLOSE_SHORT,3236.08,943,3226.5,-9.579999999999927
OPEN_LONG,3236.08,943,3236.08,0.0
CLOSE_LONG,3228.94,953,3236.08,-7.139999999999873
OPEN_SHORT,3228.94,953,3228.94,0.0
CLOSE_SHORT,3233.41,965,3228.94,-4.4699999999998
OPEN_LONG,3233.41,965,3233.41,0.0
CLOSE_LONG,3212.57,975,3233.41,-20.83999999999969
OPEN_SHORT,3212.57,975,3212.57,0.0
CLOSE_SHORT,3207.57,983,3212.57,5.0
OPEN_LONG,3207.57,983,3207.57,0.0
CLOSE_LONG,3189.41,995,3207.57,-18.16000000000031
OPEN_SHORT,3189.41,995,3189.41,0.0
CLOSE_SHORT,3106.57,1018,3189.41,82.83999999999969
OPEN_LONG,3106.57,1018,3106.57,0.0
CLOSE_LONG,3085.02,1023,3106.57,-21.550000000000182
OPEN_SHORT,3085.02,1023,3085.02,0.0
CLOSE_SHORT,3076.78,1038,3085.02,8.239999999999782
OPEN_LONG,3076.78,1038,3076.78,0.0
CLOSE_LONG,3065.1,1049,3076.78,-11.680000000000291
OPEN_SHORT,3065.1,1049,3065.1,0.0
CLOSE_SHORT,3077.5,1056,3065.1,-12.400000000000091
OPEN_LONG,3077.5,1056,3077.5,0.0
CLOSE_LONG,3064.63,1063,3077.5,-12.86999999999989
OPEN_SHORT,3064.63,1063,3064.63,0.0
CLOSE_SHORT,3053.43,1076,3064.63,11.200000000000273
OPEN_LONG,3053.43,1076,3053.43,0.0
CLOSE_LONG,3068.91,1093,3053.43,15.480000000000018
OPEN_SHORT,3068.91,1093,3068.91,0.0
CLOSE_SHORT,3084.95,1098,3068.91,-16.039999999999964
OPEN_LONG,3084.95,1098,3084.95,0.0
CLOSE_LONG,3068.09,1141,3084.95,-16.859999999999673
OPEN_SHORT,3068.09,1141,3068.09,0.0
CLOSE_SHORT,3069.88,1153,3068.09,-1.7899999999999636
OPEN_LONG,3069.88,1153,3069.88,0.0
CLOSE_LONG,3077.18,1171,3069.88,7.299999999999727
OPEN_SHORT,3077.18,1171,3077.18,0.0
CLOSE_SHORT,3076.62,1177,3077.18,0.5599999999999454
OPEN_LONG,3076.62,1177,3076.62,0.0
CLOSE_LONG,3085.82,1195,3076.62,9.200000000000273
OPEN_SHORT,3085.82,1195,3085.82,0.0
CLOSE_SHORT,3094.07,1200,3085.82,-8.25
OPEN_LONG,3094.07,1200,3094.07,0.0
CLOSE_LONG,3070.98,1240,3094.07,-23.090000000000146
OPEN_SHORT,3070.98,1240,3070.98,0.0
CLOSE_SHORT,3072.24,1252,3070.98,-1.2599999999997635
OPEN_LONG,3072.24,1252,3072.24,0.0
CLOSE_LONG,3069.36,1274,3072.24,-2.8799999999996544
OPEN_SHORT,3069.36,1274,3069.36,0.0
CLOSE_SHORT,3070.9,1286,3069.36,-1.5399999999999636
OPEN_LONG,3070.9,1286,3070.9,0.0
CLOSE_LONG,3081.08,1323,3070.9,10.179999999999836
OPEN_SHORT,3081.08,1323,3081.08,0.0
CLOSE_SHORT,3078.6,1333,3081.08,2.480000000000018
OPEN_LONG,3078.6,1333,3078.6,0.0
CLOSE_LONG,3084.56,1372,3078.6,5.960000000000036
OPEN_SHORT,3084.56,1372,3084.56,0.0
CLOSE_SHORT,3081.29,1386,3084.56,3.269999999999982
OPEN_LONG,3081.29,1386,3081.29,0.0
CLOSE_LONG,3087.0,1408,3081.29,5.710000000000036
OPEN_SHORT,3087.0,1408,3087.0,0.0
CLOSE_SHORT,3091.24,1422,3087.0,-4.239999999999782
OPEN_LONG,3091.24,1422,3091.24,0.0
CLOSE_LONG,3088.14,1524,3091.24,-3.099999999999909
OPEN_SHORT,3088.14,1524,3088.14,0.0
CLOSE_SHORT,3090.54,1532,3088.14,-2.400000000000091
OPEN_LONG,3090.54,1532,3090.54,0.0
CLOSE_LONG,3084.68,1640,3090.54,-5.860000000000127
OPEN_SHORT,3084.68,1640,3084.68,0.0
CLOSE_SHORT,3086.84,1649,3084.68,-2.1600000000003092
OPEN_LONG,3086.84,1649,3086.84,0.0
CLOSE_LONG,3086.03,1780,3086.84,-0.8099999999999454
OPEN_SHORT,3086.03,1780,3086.03,0.0
CLOSE_SHORT,3088.38,1787,3086.03,-2.349999999999909
OPEN_LONG,3088.38,1787,3088.38,0.0
CLOSE_LONG,3087.6,1872,3088.38,-0.7800000000002001
OPEN_SHORT,3087.6,1872,3087.6,0.0
CLOSE_SHORT,3084.7,1883,3087.6,2.900000000000091
OPEN_LONG,3084.7,1883,3084.7,0.0
CLOSE_LONG,3115.59,2093,3084.7,30.890000000000327
OPEN_SHORT,3115.59,2093,3115.59,0.0
CLOSE_SHORT,3116.71,2110,3115.59,-1.1199999999998909
OPEN_LONG,3116.71,2110,3116.71,0.0
CLOSE_LONG,3122.73,2164,3116.71,6.019999999999982
OPEN_SHORT,3122.73,2164,3122.73,0.0
CLOSE_SHORT,3120.7,2209,3122.73,2.0300000000002
OPEN_LONG,3120.7,2209,3120.7,0.0
CLOSE_LONG,3108.92,2274,3120.7,-11.779999999999745
OPEN_SHORT,3108.92,2274,3108.92,0.0
CLOSE_SHORT,3108.89,2308,3108.92,0.03000000000020009
OPEN_LONG,3108.89,2308,3108.89,0.0
CLOSE_LONG,3100.01,2375,3108.89,-8.879999999999654
OPEN_SHORT,3100.01,2375,3100.01,0.0
