symbol,strategy_id,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
ETHUSDT,atr_breakout,2025-06-01 15:28:00+00:00,2025-06-01 18:43:00+00:00,long,2518.8262,2496.6976,2496.6976,,-22.12860000000001,7.02173332,-29.150333320000005,stop_loss
ETHUSDT,atr_breakout,2025-06-02 14:25:00+00:00,2025-06-03 13:00:00+00:00,long,2530.2675,2612.03,2509.63,,81.76250000000027,7.1992165,74.56328350000027,end_of_day
ETHUSDT,atr_breakout,2025-06-03 14:55:00+00:00,2025-06-03 15:33:00+00:00,long,2653.8632,2625.9669333333336,2625.9669333333336,,-27.896266666666637,7.391762186666667,-35.2880288533333,stop_loss
ETHUSDT,atr_breakout,2025-06-04 15:17:00+00:00,2025-06-04 17:33:00+00:00,long,2658.3832,2632.2636,2632.2636,,-26.11959999999999,7.40690552,-33.52650551999999,stop_loss
ETHUSDT,atr_breakout,2025-06-09 19:30:00+00:00,2025-06-10 13:00:00+00:00,long,2589.3276666666666,2764.28,2561.509111111111,,174.95233333333363,7.495050733333334,167.4572826000003,end_of_day
ETHUSDT,atr_breakout,2025-06-16 05:26:00+00:00,2025-06-16 13:00:00+00:00,long,2583.4784,2615.37,2546.850342857143,,31.89159999999993,7.278387759999999,24.613212239999925,end_of_day
ETHUSDT,atr_breakout,2025-06-16 20:45:00+00:00,2025-06-16 22:33:00+00:00,long,2675.3855000000003,2637.391142857143,2637.391142857143,,-37.9943571428571,7.4378873,-45.4322444428571,stop_loss
ETHUSDT,atr_breakout,2025-06-17 15:30:00+00:00,2025-06-17 19:18:00+00:00,short,2485.2929,2523.170628571429,2523.170628571429,,-37.87772857142864,7.01184894,-44.88957751142864,stop_loss
ETHUSDT,atr_breakout,2025-06-20 14:54:00+00:00,2025-06-21 13:00:00+00:00,short,2493.8656,2435.94,2528.9187999999995,,57.92559999999958,6.90172784,51.02387215999958,end_of_day
ETHUSDT,atr_breakout,2025-06-21 21:24:00+00:00,2025-06-22 13:00:00+00:00,short,2374.3445,2279.81,2411.614571428572,,94.5345000000002,6.515816300000001,88.01868370000021,end_of_day
ETHUSDT,atr_breakout,2025-06-26 02:53:00+00:00,2025-06-26 10:03:00+00:00,long,2493.0827,2452.613885714285,2452.613885714285,,-40.468814285714416,6.92397522,-47.39278950571442,stop_loss
ETHUSDT,atr_breakout,2025-06-29 22:49:00+00:00,2025-06-30 06:47:00+00:00,long,2508.9692,2474.655885714286,2474.655885714286,,-34.313314285714114,6.97707512,-41.29038940571412,stop_loss
ETHUSDT,atr_breakout,2025-06-30 19:26:00+00:00,2025-07-01 00:30:00+00:00,long,2513.1681,2479.455942857143,2479.455942857143,,-33.712157142856995,6.989673659999999,-40.701830802857,stop_loss
ETHUSDT,atr_breakout,2025-07-01 23:11:00+00:00,2025-07-02 02:04:00+00:00,short,2383.6964,2416.1614857142854,2416.1614857142854,,-32.46508571428558,6.71980104,-39.18488675428558,stop_loss
ETHUSDT,atr_breakout,2025-07-02 15:11:00+00:00,2025-07-03 13:00:00+00:00,long,2489.3238,2589.31,2457.353828571428,,99.98620000000028,7.110087319999999,92.87611268000028,end_of_day
ETHUSDT,atr_breakout,2025-07-04 16:02:00+00:00,2025-07-05 06:28:00+00:00,short,2491.461,2525.768,2525.768,,-34.30699999999979,7.024120600000001,-41.33112059999979,stop_loss
ETHUSDT,atr_breakout,2025-07-06 13:53:00+00:00,2025-07-06 18:23:00+00:00,long,2565.6525,2536.9457142857145,2536.9457142857145,,-28.706785714285616,7.1436375000000005,-35.85042321428561,stop_loss
ETHUSDT,atr_breakout,2025-07-08 17:52:00+00:00,2025-07-08 21:00:00+00:00,long,2620.5853,2596.860114285714,2596.860114285714,,-23.725185714285544,7.304423580000001,-31.029609294285542,stop_loss
ETHUSDT,atr_breakout,2025-07-09 18:08:00+00:00,2025-07-10 13:00:00+00:00,long,2698.5653,2779.33,2674.227257142857,,80.76469999999972,7.66905342,73.09564657999972,end_of_day
ETHUSDT,atr_breakout,2025-07-10 17:07:00+00:00,2025-07-11 13:00:00+00:00,long,2818.6013,2989.03,2793.0895428571425,,170.4287000000004,8.13068382,162.2980161800004,end_of_day
