symbol,strategy_id,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason,position_size,portfolio_pnl,equity,drawdown
BTCUSDT,supertrend,2024-07-02 12:00:00+00:00,2024-07-15 00:00:00+00:00,short,61911.7,62612.9,67844.15833333333,,-701.2000000000044,186.7869,-887.9869000000044,trend_reversal,0.006742567372997428,-5.987311499589159,994.0126885004108,0.0
BTCUSDT,supertrend,2024-07-15 00:00:00+00:00,2024-08-02 16:00:00+00:00,long,62612.9,62611.6,55408.90833333333,,-1.3000000000029104,187.83675,-189.1367500000029,trend_reversal,0.005519232861413603,-1.0438897659009854,992.9687987345098,-0.10501775057578192
BTCUSDT,supertrend,2024-08-02 16:00:00+00:00,2024-08-23 16:00:00+00:00,short,62611.6,63580.3,70387.69999999998,,-968.7000000000044,189.28785,-1157.9878500000043,trend_reversal,0.005107798504311992,-5.914768608241481,987.0540301262683,-0.7000572985280973
BTCUSDT,supertrend,2024-08-23 16:00:00+00:00,2024-08-27 20:00:00+00:00,long,63580.3,59366.7,55438.51666666665,,-4213.600000000006,184.4205,-4398.020500000006,trend_reversal,0.00484932595091378,-21.327434943300826,965.7265951829676,-2.8456471073942
BTCUSDT,supertrend,2024-08-27 20:00:00+00:00,2024-09-13 12:00:00+00:00,short,59366.7,59636.5,66995.325,,-269.8000000000029,178.5048,-448.3048000000029,trend_reversal,0.005063699396328788,-2.2700807451313127,963.4565144378363,-3.074022536741684
BTCUSDT,supertrend,2024-09-13 12:00:00+00:00,2024-10-01 12:00:00+00:00,long,59636.5,62602.6,52457.99166666667,,2966.0999999999985,183.35865,2782.7413499999984,trend_reversal,0.005368561097653314,14.939316956441257,978.3958313942775,-1.5710923297863815
BTCUSDT,supertrend,2024-10-01 12:00:00+00:00,2024-10-14 12:00:00+00:00,short,62602.6,65862.0,66095.04166666667,,-3259.400000000001,192.6969,-3452.0969000000014,trend_reversal,0.011205865978893764,-38.68373520755464,939.7120961867229,-5.462766516150515
BTCUSDT,supertrend,2024-10-14 12:00:00+00:00,2024-10-23 12:00:00+00:00,long,65862.0,66203.3,59766.333333333336,,341.3000000000029,198.09795,143.2020500000029,trend_reversal,0.006166427054323115,0.8830449953545494,940.5951411820774,-5.3739301254715635
BTCUSDT,supertrend,2024-10-23 12:00:00+00:00,2024-10-29 00:00:00+00:00,short,66203.3,70934.5,70943.96666666667,,-4731.199999999997,205.7067,-4936.906699999997,trend_reversal,0.007936395509903615,-39.18124416669305,901.4138970153844,-9.315654876068336
BTCUSDT,supertrend,2024-10-29 00:00:00+00:00,2024-11-26 16:00:00+00:00,long,70934.5,91737.9,65043.891666666656,,20803.399999999998,244.0086,20559.391399999997,trend_reversal,0.006121024152392066,125.84453131788172,1027.258428333266,0.0
BTCUSDT,supertrend,2024-11-26 16:00:00+00:00,2024-12-05 00:00:00+00:00,short,91737.9,103140.8,102547.54166666669,,-11402.900000000009,292.31805,-11695.218050000009,trend_reversal,0.0038012672760503676,-44.45664965973862,982.8017786735275,-4.327698701082432
BTCUSDT,supertrend,2024-12-05 00:00:00+00:00,2024-12-20 08:00:00+00:00,long,103140.8,92681.1,92245.63333333332,,-10459.699999999995,293.73285000000004,-10753.432849999996,trend_reversal,0.0036082120035129672,-38.80066548834064,944.0011131851868,-8.104807208363798
BTCUSDT,supertrend,2024-12-20 08:00:00+00:00,2025-01-06 00:00:00+00:00,short,92681.1,99001.7,107237.81666666664,,-6320.599999999991,287.5242,-6608.124199999991,trend_reversal,0.002593994606893329,-17.14143853648127,926.8596746487055,-9.773466044708744
BTCUSDT,supertrend,2025-01-06 00:00:00+00:00,2025-01-08 16:00:00+00:00,long,99001.7,94211.6,93739.30833333332,,-4790.099999999991,289.81995,-5079.919949999991,trend_reversal,0.007045159185088179,-35.78884469525512,891.0708299534505,-13.257384376079626
BTCUSDT,supertrend,2025-01-08 16:00:00+00:00,2025-01-15 16:00:00+00:00,short,94211.6,99807.5,104664.25833333332,,-5595.899999999994,291.02865,-5886.928649999994,trend_reversal,0.0034099299968959823,-20.07401459322135,870.9968153602291,-15.211519191579908
BTCUSDT,supertrend,2025-01-15 16:00:00+00:00,2025-01-27 04:00:00+00:00,long,99807.5,98986.3,89955.65833333335,,-821.1999999999971,298.1907,-1119.3906999999972,trend_reversal,0.0035363817033609696,-3.958592790392418,867.0382225698366,-15.596874296119212
BTCUSDT,supertrend,2025-01-27 04:00:00+00:00,2025-03-24 12:00:00+00:00,short,98986.3,88283.9,108105.85833333334,,10702.400000000009,280.9053,10421.494700000008,trend_reversal,0.0038029833940561963,39.632771285344695,906.6709938551813,-11.73876321207105
BTCUSDT,supertrend,2025-03-24 12:00:00+00:00,2025-03-29 08:00:00+00:00,long,88283.9,82245.0,82574.69166666665,,-6038.899999999994,255.79335,-6294.693349999994,trend_reversal,0.006352341276891665,-39.986040392580435,866.6849534626009,-15.63126380293581
BTCUSDT,supertrend,2025-03-29 08:00:00+00:00,2025-04-21 00:00:00+00:00,short,82245.0,87174.8,90535.8083333333,,-4929.800000000003,254.1297,-5183.929700000003,trend_reversal,0.004181425591413482,-21.67621631166843,845.0087371509325,-17.741367328378598
BTCUSDT,supertrend,2025-04-21 00:00:00+00:00,2025-06-05 16:00:00+00:00,long,87174.8,101870.0,82108.78333333333,,14695.199999999995,283.5672,14411.632799999998,trend_reversal,0.006671977553575077,96.15409055196632,941.1628277028988,-8.381104331269198
BTCUSDT,supertrend,2025-06-05 16:00:00+00:00,2025-06-09 20:00:00+00:00,short,101870.0,110219.9,110330.48333333334,,-8349.899999999994,318.13485,-8668.034849999995,trend_reversal,0.004449688229961165,-38.570052648938166,902.5927750539606,-12.135763488606882
BTCUSDT,supertrend,2025-06-09 20:00:00+00:00,2025-06-21 16:00:00+00:00,long,110219.9,102200.8,102840.775,,-8019.099999999991,318.63105,-8337.731049999991,trend_reversal,0.004892681856203605,-40.79386543024039,861.7989096237202,-16.106903009596625
BTCUSDT,supertrend,2025-06-21 16:00:00+00:00,2025-06-29 08:00:00+00:00,short,102200.8,108420.1,110038.94166666664,,-6219.300000000003,315.93135000000007,-6535.231350000003,trend_reversal,0.004397975674712304,-28.741788505917267,833.057121117803,-18.904815172025987
