symbol,strategy_id,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
ETHUSDT,bb_trendline_rr4,2025-06-02 10:00:00+00:00,2025-06-02 10:00:00+00:00,2025-06-02 13:38:00+00:00,short,2480.21,2515.134,2515.134,2340.514,-34.92399999999998,14.986032,-49.91003199999998,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-02 23:00:00+00:00,2025-06-02 23:00:00+00:00,2025-06-05 19:17:00+00:00,long,2583.87,2516.925,2516.925,2851.6499999999987,-66.94499999999971,15.302385,-82.24738499999971,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-05 20:00:00+00:00,2025-06-05 20:00:00+00:00,2025-06-09 21:02:00+00:00,short,2527.5,2597.411,2597.411,2247.856,-69.91100000000006,15.374733,-85.28573300000006,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-09 22:00:00+00:00,2025-06-09 22:00:00+00:00,2025-06-13 00:33:00+00:00,long,2642.99,2532.7765,2532.7765,3083.843999999999,-110.21349999999984,15.5272995,-125.74079949999984,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-06-13 01:00:00+00:00,2025-06-13 01:00:00+00:00,2025-07-09 18:09:00+00:00,short,2528.08,2711.4385,2711.4385,1794.6460000000006,-183.35849999999985,15.7185555,-199.07705549999983,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-09 19:00:00+00:00,2025-07-09 19:00:00+00:00,2025-07-14 05:24:00+00:00,long,2717.25,3061.1899999999987,2631.2650000000003,3061.1899999999987,343.9399999999987,17.335319999999996,326.60467999999867,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-07-15 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-15 13:05:00+00:00,short,2951.43,3015.06,3015.06,2696.9099999999994,-63.63000000000011,17.89947,-81.52947000000012,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-15 14:00:00+00:00,2025-07-15 14:00:00+00:00,2025-07-15 14:52:00+00:00,long,3052.31,2988.8855,2988.8855,3306.0080000000003,-63.42450000000008,18.1235865,-81.54808650000008,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-15 16:00:00+00:00,2025-07-15 16:00:00+00:00,2025-07-16 14:33:00+00:00,long,3040.16,3239.152,2990.412,3239.152,198.9920000000002,18.837936,180.15406400000015,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-07-16 15:00:00+00:00,2025-07-16 15:00:00+00:00,2025-07-20 08:40:00+00:00,long,3252.53,3710.780000000002,3137.9675,3710.780000000002,458.2500000000018,20.889930000000007,437.3600700000018,take_profit_rr
ETHUSDT,bb_trendline_rr4,2025-07-20 09:00:00+00:00,2025-07-20 09:00:00+00:00,2025-07-23 13:49:00+00:00,long,3711.56,3599.5370000000003,3599.5370000000003,4159.651999999998,-112.02299999999968,21.933291,-133.95629099999968,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-23 14:00:00+00:00,2025-07-23 14:00:00+00:00,2025-07-24 14:46:00+00:00,short,3586.65,3697.044,3697.044,3145.074000000003,-110.39399999999932,21.851082,-132.24508199999931,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-24 15:00:00+00:00,2025-07-24 15:00:00+00:00,2025-07-25 02:47:00+00:00,long,3735.34,3621.762,3621.762,4189.652,-113.57799999999996,22.071306000000003,-135.64930599999997,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-25 04:00:00+00:00,2025-07-25 04:00:00+00:00,2025-07-25 08:49:00+00:00,short,3595.01,3680.8615,3680.8615,3251.604000000001,-85.85149999999976,21.827614500000003,-107.67911449999976,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-27 03:00:00+00:00,2025-07-27 03:00:00+00:00,2025-07-27 09:53:00+00:00,long,3786.0,3748.2265,3748.2265,3937.094000000001,-37.77350000000024,22.6026795,-60.37617950000024,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-27 11:00:00+00:00,2025-07-27 11:00:00+00:00,2025-07-28 18:05:00+00:00,long,3818.12,3761.6965,3761.6965,4043.814000000001,-56.42350000000033,22.7394495,-79.16294950000034,bb_middle_stop
ETHUSDT,bb_trendline_rr4,2025-07-29 08:00:00+00:00,2025-07-29 08:00:00+00:00,2025-07-29 14:06:00+00:00,long,3877.13,3800.476,3800.476,4183.746,-76.654,23.032818,-99.686818,bb_middle_stop
