symbol,strategy_id,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
BTCUSDT,supertrend,2024-07-02 12:00:00+00:00,2024-07-15 00:00:00+00:00,short,61911.7,62612.9,67844.15833333333,,-701.2000000000044,186.7869,-887.9869000000044,trend_reversal
BTCUSDT,supertrend,2024-07-15 00:00:00+00:00,2024-08-02 16:00:00+00:00,long,62612.9,62611.6,55408.90833333333,,-1.3000000000029104,187.83675,-189.1367500000029,trend_reversal
BTCUSDT,supertrend,2024-08-02 16:00:00+00:00,2024-08-23 16:00:00+00:00,short,62611.6,63580.3,70387.69999999998,,-968.7000000000044,189.28785,-1157.9878500000043,trend_reversal
BTCUSDT,supertrend,2024-08-23 16:00:00+00:00,2024-08-27 20:00:00+00:00,long,63580.3,59366.7,55438.51666666665,,-4213.600000000006,184.4205,-4398.020500000006,trend_reversal
BTCUSDT,supertrend,2024-08-27 20:00:00+00:00,2024-09-13 12:00:00+00:00,short,59366.7,59636.5,66995.325,,-269.8000000000029,178.5048,-448.3048000000029,trend_reversal
BTCUSDT,supertrend,2024-09-13 12:00:00+00:00,2024-10-01 12:00:00+00:00,long,59636.5,62602.6,52457.99166666667,,2966.0999999999985,183.35865,2782.7413499999984,trend_reversal
BTCUSDT,supertrend,2024-10-01 12:00:00+00:00,2024-10-14 12:00:00+00:00,short,62602.6,65862.0,66095.04166666667,,-3259.4000000000015,192.6969,-3452.0969000000014,trend_reversal
BTCUSDT,supertrend,2024-10-14 12:00:00+00:00,2024-10-23 12:00:00+00:00,long,65862.0,66203.3,59766.333333333336,,341.3000000000029,198.09795,143.2020500000029,trend_reversal
BTCUSDT,supertrend,2024-10-23 12:00:00+00:00,2024-10-29 00:00:00+00:00,short,66203.3,70934.5,70943.96666666667,,-4731.199999999997,205.70669999999998,-4936.906699999997,trend_reversal
BTCUSDT,supertrend,2024-10-29 00:00:00+00:00,2024-11-26 16:00:00+00:00,long,70934.5,91737.9,65043.891666666656,,20803.399999999994,244.0086,20559.391399999993,trend_reversal
BTCUSDT,supertrend,2024-11-26 16:00:00+00:00,2024-12-05 00:00:00+00:00,short,91737.9,103140.8,102547.54166666667,,-11402.900000000009,292.31805,-11695.218050000009,trend_reversal
BTCUSDT,supertrend,2024-12-05 00:00:00+00:00,2024-12-20 08:00:00+00:00,long,103140.8,92681.1,92245.63333333333,,-10459.699999999997,293.73285000000004,-10753.432849999997,trend_reversal
BTCUSDT,supertrend,2024-12-20 08:00:00+00:00,2025-01-06 00:00:00+00:00,short,92681.1,99001.7,107237.81666666665,,-6320.599999999991,287.5242,-6608.124199999991,trend_reversal
BTCUSDT,supertrend,2025-01-06 00:00:00+00:00,2025-01-08 16:00:00+00:00,long,99001.7,94211.6,93739.30833333333,,-4790.099999999991,289.81995,-5079.919949999991,trend_reversal
BTCUSDT,supertrend,2025-01-08 16:00:00+00:00,2025-01-15 16:00:00+00:00,short,94211.6,99807.5,104664.25833333333,,-5595.899999999994,291.02865,-5886.928649999994,trend_reversal
BTCUSDT,supertrend,2025-01-15 16:00:00+00:00,2025-01-27 04:00:00+00:00,long,99807.5,98986.3,89955.65833333335,,-821.1999999999971,298.1907,-1119.3906999999972,trend_reversal
BTCUSDT,supertrend,2025-01-27 04:00:00+00:00,2025-03-24 12:00:00+00:00,short,98986.3,88283.9,108105.85833333334,,10702.400000000009,280.9053,10421.494700000008,trend_reversal
BTCUSDT,supertrend,2025-03-24 12:00:00+00:00,2025-03-29 08:00:00+00:00,long,88283.9,82245.0,82574.69166666665,,-6038.899999999994,255.79335,-6294.693349999994,trend_reversal
BTCUSDT,supertrend,2025-03-29 08:00:00+00:00,2025-04-21 00:00:00+00:00,short,82245.0,87174.8,90535.8083333333,,-4929.800000000003,254.12969999999999,-5183.929700000003,trend_reversal
