symbol,strategy_id,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
ETHUSDT,supertrend,2023-06-02 04:00:00+00:00,2023-06-06 16:00:00+00:00,short,1884.74,1890.98,1952.7710000000002,,-6.240000000000009,5.6635800000000005,-11.903580000000009,trend_reversal
ETHUSDT,supertrend,2023-06-06 16:00:00+00:00,2023-06-10 04:00:00+00:00,long,1890.98,1731.55,1784.319,,-159.43000000000006,5.433795,-164.86379500000007,trend_reversal
ETHUSDT,supertrend,2023-06-10 04:00:00+00:00,2023-06-16 16:00:00+00:00,short,1731.55,1721.92,1849.0780000000002,,9.629999999999882,5.180205000000001,4.449794999999881,trend_reversal
ETHUSDT,supertrend,2023-06-16 16:00:00+00:00,2023-06-28 16:00:00+00:00,long,1721.92,1831.31,1629.745,,109.38999999999987,5.329845,104.06015499999987,trend_reversal
ETHUSDT,supertrend,2023-06-28 16:00:00+00:00,2023-06-30 16:00:00+00:00,short,1831.31,1926.19,1923.0440000000003,,-94.88000000000011,5.63625,-100.51625000000011,trend_reversal
ETHUSDT,supertrend,2023-06-30 16:00:00+00:00,2023-07-06 12:00:00+00:00,long,1926.19,1887.01,1819.2530000000002,,-39.180000000000064,5.7198,-44.89980000000006,trend_reversal
ETHUSDT,supertrend,2023-07-06 12:00:00+00:00,2023-07-10 16:00:00+00:00,short,1887.01,1898.88,1956.7659999999998,,-11.870000000000118,5.678835,-17.548835000000118,trend_reversal
ETHUSDT,supertrend,2023-07-10 16:00:00+00:00,2023-07-14 16:00:00+00:00,long,1898.88,1911.73,1834.794,,12.849999999999909,5.715915000000001,7.134084999999908,trend_reversal
ETHUSDT,supertrend,2023-07-14 16:00:00+00:00,2023-08-08 16:00:00+00:00,short,1911.73,1858.15,2055.181,,53.57999999999993,5.65482,47.925179999999926,trend_reversal
ETHUSDT,supertrend,2023-08-08 16:00:00+00:00,2023-08-15 16:00:00+00:00,long,1858.15,1827.21,1811.7179999999998,,-30.940000000000055,5.528040000000001,-36.46804000000006,trend_reversal
ETHUSDT,supertrend,2023-08-15 16:00:00+00:00,2023-08-23 16:00:00+00:00,short,1827.21,1685.97,1856.6049999999998,,141.24,5.26977,135.97023000000002,trend_reversal
ETHUSDT,supertrend,2023-08-23 16:00:00+00:00,2023-08-31 16:00:00+00:00,long,1685.97,1656.19,1601.5650000000003,,-29.779999999999973,5.01324,-34.79323999999997,trend_reversal
ETHUSDT,supertrend,2023-08-31 16:00:00+00:00,2023-09-14 00:00:00+00:00,short,1656.19,1618.99,1720.2799999999997,,37.200000000000045,4.912770000000001,32.287230000000044,trend_reversal
ETHUSDT,supertrend,2023-09-14 00:00:00+00:00,2023-09-21 08:00:00+00:00,long,1618.99,1593.72,1552.801,,-25.269999999999982,4.819065,-30.089064999999984,trend_reversal
ETHUSDT,supertrend,2023-09-21 08:00:00+00:00,2023-09-27 08:00:00+00:00,short,1593.72,1628.55,1656.4720000000002,,-34.82999999999993,4.833405,-39.663404999999926,trend_reversal
ETHUSDT,supertrend,2023-09-27 08:00:00+00:00,2023-10-03 08:00:00+00:00,long,1628.55,1655.32,1570.0940000000003,,26.769999999999982,4.9258049999999995,21.84419499999998,trend_reversal
ETHUSDT,supertrend,2023-10-03 08:00:00+00:00,2023-10-16 08:00:00+00:00,short,1655.32,1582.01,1760.638,,73.30999999999995,4.855995,68.45400499999994,trend_reversal
ETHUSDT,supertrend,2023-10-16 08:00:00+00:00,2023-11-14 16:00:00+00:00,long,1582.01,1979.84,1542.462,,397.8299999999999,5.342775,392.4872249999999,trend_reversal
ETHUSDT,supertrend,2023-11-14 16:00:00+00:00,2023-11-20 04:00:00+00:00,short,1979.84,2020.77,2135.515,,-40.930000000000064,6.000915,-46.93091500000006,trend_reversal
ETHUSDT,supertrend,2023-11-20 04:00:00+00:00,2023-11-21 20:00:00+00:00,long,2020.77,1933.21,1942.034,,-87.55999999999995,5.93097,-93.49096999999995,trend_reversal
ETHUSDT,supertrend,2023-11-21 20:00:00+00:00,2023-11-24 08:00:00+00:00,short,1933.21,2098.18,2093.9190000000003,,-164.9699999999998,6.047085,-171.0170849999998,trend_reversal
ETHUSDT,supertrend,2023-11-24 08:00:00+00:00,2023-11-27 08:00:00+00:00,long,2098.18,2025.8,2015.4550000000004,,-72.37999999999988,6.185969999999999,-78.56596999999988,trend_reversal
ETHUSDT,supertrend,2023-11-27 08:00:00+00:00,2023-12-02 04:00:00+00:00,short,2025.8,2096.6,2108.106,,-70.79999999999995,6.183599999999999,-76.98359999999995,trend_reversal
ETHUSDT,supertrend,2023-12-02 04:00:00+00:00,2023-12-11 00:00:00+00:00,long,2096.6,2251.94,2029.8940000000005,,155.34000000000015,6.52281,148.81719000000015,trend_reversal
ETHUSDT,supertrend,2023-12-11 00:00:00+00:00,2023-12-14 08:00:00+00:00,short,2251.94,2309.81,2380.478,,-57.86999999999989,6.842625,-64.71262499999989,trend_reversal
ETHUSDT,supertrend,2023-12-14 08:00:00+00:00,2023-12-18 04:00:00+00:00,long,2309.81,2170.05,2170.32,,-139.75999999999976,6.719790000000001,-146.47978999999975,trend_reversal
ETHUSDT,supertrend,2023-12-18 04:00:00+00:00,2023-12-19 04:00:00+00:00,short,2170.05,2248.99,2267.051,,-78.9399999999996,6.62856,-85.5685599999996,trend_reversal
ETHUSDT,supertrend,2023-12-19 04:00:00+00:00,2024-01-01 00:00:00+00:00,long,2248.99,2275.83,2119.471,,26.840000000000146,6.78723,20.052770000000145,trend_reversal
ETHUSDT,supertrend,2024-01-01 00:00:00+00:00,2024-01-02 00:00:00+00:00,short,2275.83,2388.21,2367.134,,-112.38000000000011,6.99606,-119.37606000000011,trend_reversal
ETHUSDT,supertrend,2024-01-02 00:00:00+00:00,2024-01-03 12:00:00+00:00,long,2388.21,2241.5,2280.727,,-146.71000000000004,6.944565,-153.65456500000005,trend_reversal
ETHUSDT,supertrend,2024-01-03 12:00:00+00:00,2024-01-08 16:00:00+00:00,short,2241.5,2355.04,2378.283,,-113.53999999999996,6.89481,-120.43480999999997,trend_reversal
ETHUSDT,supertrend,2024-01-08 16:00:00+00:00,2024-01-14 20:00:00+00:00,long,2355.04,2474.33,2177.1870000000004,,119.28999999999996,7.244055,112.04594499999996,trend_reversal
ETHUSDT,supertrend,2024-01-14 20:00:00+00:00,2024-01-29 20:00:00+00:00,short,2474.33,2316.7,2603.317,,157.6300000000001,7.186545,150.4434550000001,trend_reversal
ETHUSDT,supertrend,2024-01-29 20:00:00+00:00,2024-02-01 00:00:00+00:00,long,2316.7,2256.04,2229.3349999999996,,-60.659999999999854,6.859109999999999,-67.51910999999986,trend_reversal
ETHUSDT,supertrend,2024-02-01 00:00:00+00:00,2024-02-06 16:00:00+00:00,short,2256.04,2377.92,2392.2640000000006,,-121.88000000000011,6.95094,-128.8309400000001,trend_reversal
ETHUSDT,supertrend,2024-02-06 16:00:00+00:00,2024-03-05 16:00:00+00:00,long,2377.92,3374.98,2271.629,,997.06,8.62935,988.4306499999999,trend_reversal
ETHUSDT,supertrend,2024-03-05 16:00:00+00:00,2024-03-08 04:00:00+00:00,short,3374.98,3914.09,3910.158,,-539.1100000000001,10.933605,-550.0436050000001,trend_reversal
ETHUSDT,supertrend,2024-03-08 04:00:00+00:00,2024-03-14 16:00:00+00:00,long,3914.09,3789.54,3662.0299999999997,,-124.55000000000018,11.555445,-136.10544500000017,trend_reversal
