symbol,strategy_id,entry_time,exit_time,direction,entry_price,exit_price,stop_level,tp_level,raw_pnl,fees,net_pnl,exit_reason
ETHUSDT,supertrend,2025-01-02 16:00:00+00:00,2025-01-03 16:00:00+00:00,short,3462.2,3622.32,3591.6689999999994,,-160.12000000000037,10.62678,-170.74678000000034,trend_reversal
ETHUSDT,supertrend,2025-01-03 16:00:00+00:00,2025-01-07 12:00:00+00:00,long,3622.32,3460.0,3418.943,,-162.32000000000016,10.62348,-172.94348000000016,trend_reversal
ETHUSDT,supertrend,2025-01-07 12:00:00+00:00,2025-01-14 20:00:00+00:00,short,3460.0,3224.18,3733.315,,235.82000000000016,10.02627,225.79373000000012,trend_reversal
ETHUSDT,supertrend,2025-01-14 20:00:00+00:00,2025-01-19 08:00:00+00:00,long,3224.18,3149.39,2953.4010000000003,,-74.78999999999996,9.560355,-84.35035499999996,trend_reversal
ETHUSDT,supertrend,2025-01-19 08:00:00+00:00,2025-01-24 04:00:00+00:00,short,3149.39,3380.81,3489.5370000000003,,-231.42000000000007,9.7953,-241.21530000000007,trend_reversal
ETHUSDT,supertrend,2025-01-24 04:00:00+00:00,2025-01-27 00:00:00+00:00,long,3380.81,3181.92,3107.226,,-198.88999999999987,9.844095,-208.73409499999988,trend_reversal
ETHUSDT,supertrend,2025-01-27 00:00:00+00:00,2025-01-30 16:00:00+00:00,short,3181.92,3270.59,3356.5740000000005,,-88.67000000000007,9.678765,-98.34876500000009,trend_reversal
ETHUSDT,supertrend,2025-01-30 16:00:00+00:00,2025-02-01 20:00:00+00:00,long,3270.59,3115.36,3069.389,,-155.23000000000002,9.578925000000002,-164.80892500000002,trend_reversal
ETHUSDT,supertrend,2025-02-01 20:00:00+00:00,2025-02-13 00:00:00+00:00,short,3115.36,2743.54,3385.5930000000003,,371.82000000000016,8.78835,363.0316500000002,trend_reversal
ETHUSDT,supertrend,2025-02-13 00:00:00+00:00,2025-02-18 16:00:00+00:00,long,2743.54,2628.72,2504.47,,-114.82000000000016,8.058390000000001,-122.87839000000017,trend_reversal
ETHUSDT,supertrend,2025-02-18 16:00:00+00:00,2025-02-21 08:00:00+00:00,short,2628.72,2787.11,2767.9840000000004,,-158.39000000000033,8.123745,-166.5137450000003,trend_reversal
ETHUSDT,supertrend,2025-02-21 08:00:00+00:00,2025-02-21 16:00:00+00:00,long,2787.11,2638.68,2658.0600000000004,,-148.4300000000003,8.138685,-156.5686850000003,trend_reversal
ETHUSDT,supertrend,2025-02-21 16:00:00+00:00,2025-03-02 16:00:00+00:00,short,2638.68,2486.72,2900.8569999999995,,151.96000000000004,7.688099999999999,144.27190000000004,trend_reversal
ETHUSDT,supertrend,2025-03-02 16:00:00+00:00,2025-03-03 16:00:00+00:00,long,2486.72,2107.71,2121.762,,-379.00999999999976,6.8916450000000005,-385.90164499999975,trend_reversal
ETHUSDT,supertrend,2025-03-03 16:00:00+00:00,2025-03-19 08:00:00+00:00,short,2107.71,2027.19,2548.528,,80.51999999999998,6.202349999999999,74.31764999999999,trend_reversal
ETHUSDT,supertrend,2025-03-19 08:00:00+00:00,2025-03-28 04:00:00+00:00,long,2027.19,1908.91,1877.1800000000003,,-118.27999999999996,5.9041500000000005,-124.18414999999996,trend_reversal
ETHUSDT,supertrend,2025-03-28 04:00:00+00:00,2025-04-01 12:00:00+00:00,short,1908.91,1917.93,2055.901,,-9.019999999999982,5.74026,-14.76025999999998,trend_reversal
ETHUSDT,supertrend,2025-04-01 12:00:00+00:00,2025-04-02 20:00:00+00:00,long,1917.93,1794.27,1780.697,,-123.66000000000008,5.5683,-129.22830000000008,trend_reversal
ETHUSDT,supertrend,2025-04-02 20:00:00+00:00,2025-04-09 16:00:00+00:00,short,1794.27,1639.82,1972.921,,154.45000000000005,5.151135,149.29886500000003,trend_reversal
ETHUSDT,supertrend,2025-04-09 16:00:00+00:00,2025-05-06 08:00:00+00:00,long,1639.82,1768.92,1350.3269999999998,,129.10000000000014,5.11311,123.98689000000012,trend_reversal
ETHUSDT,supertrend,2025-05-06 08:00:00+00:00,2025-05-08 00:00:00+00:00,short,1768.92,1900.2,1870.072,,-131.27999999999997,5.50368,-136.78367999999998,trend_reversal
ETHUSDT,supertrend,2025-05-08 00:00:00+00:00,2025-05-18 16:00:00+00:00,long,1900.2,2406.72,1744.578,,506.51999999999975,6.460380000000001,500.05961999999977,trend_reversal
ETHUSDT,supertrend,2025-05-18 16:00:00+00:00,2025-05-22 00:00:00+00:00,short,2406.72,2628.43,2612.342,,-221.71000000000004,7.552725,-229.26272500000005,trend_reversal
ETHUSDT,supertrend,2025-05-22 00:00:00+00:00,2025-05-30 20:00:00+00:00,long,2628.43,2530.11,2385.943,,-98.31999999999972,7.73781,-106.0578099999997,trend_reversal
ETHUSDT,supertrend,2025-05-30 20:00:00+00:00,2025-06-02 20:00:00+00:00,short,2530.11,2606.95,2733.528,,-76.83999999999969,7.705589999999999,-84.54558999999969,trend_reversal
ETHUSDT,supertrend,2025-06-02 20:00:00+00:00,2025-06-05 20:00:00+00:00,long,2606.95,2413.12,2424.9150000000004,,-193.82999999999996,7.530105,-201.36010499999992,trend_reversal
ETHUSDT,supertrend,2025-06-05 20:00:00+00:00,2025-06-09 16:00:00+00:00,short,2413.12,2579.52,2642.169,,-166.4000000000001,7.48896,-173.88896000000008,trend_reversal
ETHUSDT,supertrend,2025-06-09 16:00:00+00:00,2025-06-13 00:00:00+00:00,long,2579.52,2512.85,2452.189,,-66.67000000000007,7.638555,-74.30855500000007,trend_reversal
ETHUSDT,supertrend,2025-06-13 00:00:00+00:00,2025-06-16 04:00:00+00:00,short,2512.85,2627.75,2792.436,,-114.90000000000008,7.7109,-122.61090000000009,trend_reversal
ETHUSDT,supertrend,2025-06-16 04:00:00+00:00,2025-06-17 12:00:00+00:00,long,2627.75,2497.58,2476.061,,-130.17000000000007,7.687995,-137.85799500000007,trend_reversal
ETHUSDT,supertrend,2025-06-17 12:00:00+00:00,2025-06-23 20:00:00+00:00,short,2497.58,2410.11,2730.736,,87.4699999999998,7.361535000000001,80.1084649999998,trend_reversal
ETHUSDT,supertrend,2025-06-23 20:00:00+00:00,2025-07-01 16:00:00+00:00,long,2410.11,2401.5,2120.924,,-8.610000000000127,7.217415000000001,-15.827415000000128,trend_reversal
ETHUSDT,supertrend,2025-07-01 16:00:00+00:00,2025-07-02 16:00:00+00:00,short,2401.5,2603.64,2541.302,,-202.13999999999987,7.507709999999999,-209.64770999999988,trend_reversal
ETHUSDT,supertrend,2025-07-02 16:00:00+00:00,2025-07-31 20:00:00+00:00,long,2603.64,3696.0,2405.946,,1092.36,9.44946,1082.91054,trend_reversal
ETHUSDT,supertrend,2025-07-31 20:00:00+00:00,2025-08-04 16:00:00+00:00,short,3696.0,3668.24,3952.457,,27.76000000000022,11.04636,16.71364000000022,trend_reversal
ETHUSDT,supertrend,2025-08-04 16:00:00+00:00,2025-08-15 12:00:00+00:00,long,3668.24,4429.31,3508.767,,761.0700000000006,12.146325,748.9236750000006,trend_reversal
ETHUSDT,supertrend,2025-08-15 12:00:00+00:00,2025-08-22 12:00:00+00:00,short,4429.31,4613.88,4875.582,,-184.5699999999997,13.564785,-198.1347849999997,trend_reversal
ETHUSDT,supertrend,2025-08-22 12:00:00+00:00,2025-08-25 04:00:00+00:00,long,4613.88,4589.75,4102.522999999999,,-24.13000000000011,13.805445000000002,-37.93544500000012,trend_reversal
ETHUSDT,supertrend,2025-08-25 04:00:00+00:00,2025-09-10 12:00:00+00:00,short,4589.75,4402.99,4955.876,,186.76000000000025,13.48911,173.2708900000002,trend_reversal
ETHUSDT,supertrend,2025-09-10 12:00:00+00:00,2025-09-15 12:00:00+00:00,long,4402.99,4498.0,4231.879000000001,,95.01000000000022,13.351485,81.65851500000022,trend_reversal
ETHUSDT,supertrend,2025-09-15 12:00:00+00:00,2025-09-28 20:00:00+00:00,short,4498.0,4139.5,4691.395,,358.5,12.95625,345.54375,trend_reversal
ETHUSDT,supertrend,2025-09-28 20:00:00+00:00,2025-10-07 16:00:00+00:00,long,4139.5,4478.5,3946.709,,339.0,12.927,326.073,trend_reversal
ETHUSDT,supertrend,2025-10-07 16:00:00+00:00,2025-10-13 16:00:00+00:00,short,4478.5,4250.4,4766.351,,228.1000000000004,13.09335,215.0066500000004,trend_reversal
ETHUSDT,supertrend,2025-10-13 16:00:00+00:00,2025-10-16 16:00:00+00:00,long,4250.4,3865.26,3810.914,,-385.1399999999994,12.17349,-397.3134899999994,trend_reversal
ETHUSDT,supertrend,2025-10-16 16:00:00+00:00,2025-10-21 12:00:00+00:00,short,3865.26,4081.69,4234.061,,-216.42999999999984,11.920425000000002,-228.35042499999983,trend_reversal
ETHUSDT,supertrend,2025-10-21 12:00:00+00:00,2025-10-22 08:00:00+00:00,long,4081.69,3826.63,3826.863,,-255.05999999999997,11.86248,-266.92247999999995,trend_reversal
