timestamp,open,high,low,close,volume,turnover
2023-05-31 12:00:00+00:00,1864.98,1866.3,1844.91,1857.34,81052.54,150450681.2484
2024-06-27 08:00:00+00:00,3373.46,3413.3,3366.56,3402.36,77802.15,264130181.9918
2024-06-27 12:00:00+00:00,3402.36,3475.84,3402.11,3450.14,244107.91,840471842.6132
2024-06-27 16:00:00+00:00,3450.14,3466.12,3437.04,3448.25,67058.27,231486267.7765
2024-06-27 20:00:00+00:00,3448.25,3453.39,3437.9,3448.56,44694.2,154003603.4416
2024-06-28 00:00:00+00:00,3448.56,3486.54,3433.0,3458.9,126401.33,437572563.155
2024-06-28 04:00:00+00:00,3458.9,3459.55,3424.47,3430.42,61008.89,210063780.92069998
2024-06-28 08:00:00+00:00,3430.42,3460.45,3419.0,3451.34,60302.27,207347509.9447
2024-06-28 12:00:00+00:00,3451.34,3476.01,3401.02,3411.41,192244.21,660808727.5853
2024-06-28 16:00:00+00:00,3411.41,3415.1,3362.48,3378.25,168827.59,571729495.2229
2024-06-28 20:00:00+00:00,3378.25,3393.25,3366.39,3378.37,57987.26,195975781.3499
2024-06-29 00:00:00+00:00,3378.37,3397.89,3378.02,3383.96,47966.55,162482678.7498
2024-06-29 04:00:00+00:00,3383.96,3407.25,3378.84,3397.82,40239.37,136500345.3038
2024-06-29 08:00:00+00:00,3397.82,3404.85,3384.73,3398.73,39486.53,134049894.1083
2024-06-29 12:00:00+00:00,3398.73,3401.87,3380.43,3392.87,42096.13,142686392.8665
2024-06-29 16:00:00+00:00,3392.87,3395.47,3374.56,3385.15,26813.41,90740964.0808
2024-06-29 20:00:00+00:00,3385.15,3387.77,3367.75,3377.0,25753.47,87023337.8741
2024-06-30 00:00:00+00:00,3377.0,3388.32,3352.79,3369.65,42929.4,144587893.6176
2024-06-30 04:00:00+00:00,3369.65,3398.8,3356.19,3392.68,56864.93,192272937.4075
2024-06-30 08:00:00+00:00,3392.68,3397.81,3383.28,3387.66,37900.31,128520358.89
2024-06-30 12:00:00+00:00,3387.66,3402.95,3377.56,3398.56,45484.74,154304334.8118
2024-06-30 16:00:00+00:00,3398.56,3431.97,3390.23,3426.43,56243.77,192017728.4656
2024-06-30 20:00:00+00:00,3426.43,3459.29,3406.41,3436.4,74872.85,257182769.341
2024-07-01 00:00:00+00:00,3436.4,3523.57,3430.48,3496.54,162184.98,565968880.9552
2024-07-01 04:00:00+00:00,3496.54,3497.91,3481.91,3488.74,43630.69,152154937.9822
2024-07-01 08:00:00+00:00,3488.74,3493.71,3456.02,3458.2,67539.52,234582044.952
2024-07-01 12:00:00+00:00,3458.2,3479.94,3450.0,3473.14,77031.94,266854497.8573
2024-07-01 16:00:00+00:00,3473.14,3498.32,3460.55,3469.54,80571.28,280279806.0649
2024-07-01 20:00:00+00:00,3469.54,3474.33,3419.28,3440.0,74847.19,257717045.43580002
2024-07-02 00:00:00+00:00,3440.0,3462.96,3431.64,3455.53,27840.0,95961005.4304
2024-07-02 04:00:00+00:00,3455.53,3462.79,3432.0,3437.14,38487.31,132709961.1658
2024-07-02 08:00:00+00:00,3437.14,3453.98,3430.4,3452.13,38322.95,132033419.1641
2024-07-02 12:00:00+00:00,3452.13,3463.28,3398.61,3414.63,132815.98,454737349.7598
2024-07-02 16:00:00+00:00,3414.63,3432.43,3407.05,3414.53,44162.74,151058041.8444
